id,customer_id,product_id,branch_id,loan_amount,interest_rate,term_months,monthly_payment,start_date,end_date,status,remaining_balance,_etl_loaded_at
1,1,16,1,250000.00,3.50,360,1122.61,2016-03-15,2046-03-15,active,218500.00,2024-01-15
2,3,16,3,320000.00,3.25,300,1562.18,2016-06-01,2041-06-01,active,265000.00,2024-01-15
3,7,14,5,25000.00,7.50,60,500.57,2017-01-10,2022-01-10,completed,0.00,2024-01-15
4,11,15,16,35000.00,5.90,72,579.68,2017-05-20,2023-05-20,completed,0.00,2024-01-15
5,15,16,10,450000.00,2.90,360,1873.65,2018-02-01,2048-02-01,active,395000.00,2024-01-15
6,19,14,15,18000.00,8.25,48,440.77,2018-08-15,2022-08-15,completed,0.00,2024-01-15
7,23,17,20,280000.00,2.50,300,1230.56,2019-01-20,2044-01-20,active,245000.00,2024-01-15
8,27,16,12,380000.00,3.15,360,1632.45,2019-07-01,2049-07-01,active,342000.00,2024-01-15
9,31,15,15,42000.00,5.50,60,802.27,2020-02-10,2025-02-10,active,12500.00,2024-01-15
10,4,19,4,12000.00,4.50,48,273.48,2020-09-01,2024-09-01,active,3200.00,2024-01-15
11,8,14,8,15000.00,7.90,36,470.25,2021-03-15,2024-03-15,active,2800.00,2024-01-15
12,12,19,17,8500.00,4.25,36,251.87,2021-09-01,2024-09-01,active,1500.00,2024-01-15
13,16,14,19,22000.00,7.25,48,530.12,2022-01-20,2026-01-20,active,14200.00,2024-01-15
14,20,19,14,9500.00,4.50,24,414.82,2022-06-01,2024-06-01,active,2100.00,2024-01-15
15,24,14,13,28000.00,7.00,60,554.27,2022-11-15,2027-11-15,active,22400.00,2024-01-15
16,33,18,22,195000.00,2.90,240,1087.42,2023-02-01,2043-02-01,active,188500.00,2024-01-15
17,37,16,18,275000.00,3.40,360,1217.85,2023-05-20,2053-05-20,active,271000.00,2024-01-15
18,41,14,15,32000.00,6.90,48,766.34,2023-08-01,2027-08-01,active,28800.00,2024-01-15
19,45,15,7,48000.00,5.25,72,779.56,2023-10-15,2029-10-15,active,45600.00,2024-01-15
20,49,17,16,225000.00,2.75,300,1025.32,2024-01-10,2049-01-10,active,224500.00,2024-01-15
21,5,14,7,10000.00,8.50,24,455.23,2018-04-01,2020-04-01,defaulted,4500.00,2024-01-15
22,9,14,14,8000.00,9.00,36,254.42,2019-02-15,2022-02-15,defaulted,3200.00,2024-01-15
23,13,14,18,15000.00,8.25,48,367.15,2020-06-01,2024-06-01,defaulted,8500.00,2024-01-15
24,53,16,4,185000.00,3.60,360,841.12,2019-09-01,2049-09-01,active,168000.00,2024-01-15
25,57,14,6,20000.00,7.75,48,484.52,2020-12-01,2024-12-01,active,5200.00,2024-01-15
26,61,18,14,210000.00,2.95,240,1167.23,2021-04-15,2041-04-15,active,195000.00,2024-01-15
27,65,15,3,55000.00,5.40,72,894.18,2021-10-01,2027-10-01,active,38500.00,2024-01-15
28,69,16,8,295000.00,3.30,360,1294.56,2022-03-20,2052-03-20,active,285000.00,2024-01-15
29,73,14,22,35000.00,6.80,60,690.45,2022-08-01,2027-08-01,active,24500.00,2024-01-15
30,77,17,2,340000.00,2.60,300,1522.78,2023-01-15,2048-01-15,active,332000.00,2024-01-15
31,81,15,24,62000.00,5.15,72,1002.34,2023-06-01,2029-06-01,active,56800.00,2024-01-15
32,85,18,22,175000.00,3.05,240,974.89,2023-09-20,2043-09-20,active,172500.00,2024-01-15
33,89,14,22,27000.00,7.10,48,648.92,2023-12-01,2027-12-01,active,25650.00,2024-01-15
34,93,16,22,410000.00,3.45,360,1827.34,2024-01-05,2054-01-05,active,409500.00,2024-01-15
35,97,15,22,58000.00,5.30,72,940.67,2024-01-15,2030-01-15,active,57800.00,2024-01-15
36,2,16,6,180000.00,3.50,240,1043.00,2003-04-01,2023-04-01,completed,0.00,2024-01-15
37,6,17,11,210000.00,2.50,240,1111.42,2004-07-15,2024-07-15,completed,0.00,2024-01-15
38,10,18,4,155000.00,2.90,180,1058.73,2009-11-01,2024-11-01,completed,0.00,2024-01-15
39,14,16,19,265000.00,3.50,300,1329.72,1999-06-01,2024-06-01,completed,0.00,2024-01-15
40,18,17,8,190000.00,2.50,240,1005.44,2003-09-15,2023-09-15,completed,0.00,2024-01-15
