id,account_id,transaction_date,transaction_type,category,amount,description,channel,status,_etl_loaded_at
1,1,2018-01-05,debit,Compras,125.50,Compra en El Corte Inglés,POS,completed,2024-01-15
2,1,2018-01-10,credit,Nómina,2850.00,Nómina Enero,Transfer,completed,2024-01-15
3,2,2018-01-12,debit,Transferencia,-500.00,Transferencia a cuenta ahorro,Transfer,completed,2024-01-15
4,3,2018-01-15,debit,Compras,45.80,Supermercado Mercadona,POS,completed,2024-01-15
5,4,2018-01-18,credit,Intereses,312.50,Intereses trimestrales,System,completed,2024-01-15
6,5,2018-01-20,debit,Ocio,28.50,Netflix suscripción,Direct_Debit,completed,2024-01-15
7,6,2018-01-22,debit,Recibos,-85.00,Recibo luz Endesa,Direct_Debit,completed,2024-01-15
8,7,2018-01-25,debit,Compras,234.90,Zara ropa,POS,completed,2024-01-15
9,8,2018-01-28,credit,Nómina,3200.00,Nómina Enero,Transfer,completed,2024-01-15
10,9,2018-02-01,debit,Compras,18.90,Farmacia,POS,completed,2024-01-15
11,10,2018-02-05,debit,Recibos,-120.00,Seguro coche,Direct_Debit,completed,2024-01-15
12,11,2018-02-08,credit,Nómina,2650.00,Nómina Febrero,Transfer,completed,2024-01-15
13,12,2018-02-10,debit,Ocio,15.99,Spotify Premium,Direct_Debit,completed,2024-01-15
14,13,2018-02-12,debit,Compras,89.50,Gasolinera Repsol,POS,completed,2024-01-15
15,14,2018-02-15,credit,Pensión,1450.00,Pensión Febrero,Transfer,completed,2024-01-15
16,15,2018-02-18,debit,Transferencia,-1000.00,Transferencia familiar,Transfer,completed,2024-01-15
17,16,2018-02-20,credit,Nómina,2200.00,Nómina Febrero,Transfer,completed,2024-01-15
18,17,2018-02-22,debit,Compras,156.80,Decathlon deportes,POS,completed,2024-01-15
19,18,2018-02-25,debit,Recibos,-65.00,Teléfono móvil Movistar,Direct_Debit,completed,2024-01-15
20,19,2018-02-28,credit,Pensión,1650.00,Pensión Febrero,Transfer,completed,2024-01-15
21,20,2018-03-02,credit,Nómina,2450.00,Nómina Marzo,Transfer,completed,2024-01-15
22,21,2018-03-05,debit,Compras,67.40,Librería Casa del Libro,POS,completed,2024-01-15
23,22,2018-03-08,debit,Ocio,45.00,Cine y cena,POS,completed,2024-01-15
24,23,2018-03-10,credit,Pensión,1380.00,Pensión Marzo,Transfer,completed,2024-01-15
25,24,2018-03-12,credit,Nómina,3500.00,Nómina Marzo,Transfer,completed,2024-01-15
26,25,2018-03-15,debit,Compras,198.60,MediaMarkt electrónica,POS,completed,2024-01-15
27,26,2018-03-18,debit,Recibos,-95.00,Comunidad vecinos,Direct_Debit,completed,2024-01-15
28,27,2018-03-20,credit,Pensión,1520.00,Pensión Marzo,Transfer,completed,2024-01-15
29,28,2018-03-22,credit,Nómina,2100.00,Nómina Marzo,Transfer,completed,2024-01-15
30,29,2018-03-25,debit,Compras,78.30,Supermercado Carrefour,POS,completed,2024-01-15
31,30,2018-03-28,credit,Pensión,1750.00,Pensión Marzo,Transfer,completed,2024-01-15
32,1,2018-04-02,debit,Compras,312.40,Viaje Renfe AVE,Online,completed,2024-01-15
33,2,2018-04-05,credit,Intereses,562.50,Intereses trimestrales,System,completed,2024-01-15
34,3,2018-04-08,debit,Ocio,85.00,Concierto,Online,completed,2024-01-15
35,4,2018-04-10,credit,Dividendos,450.00,Dividendos acciones,Transfer,completed,2024-01-15
36,5,2018-04-12,debit,Compras,42.50,Amazon compra,Online,completed,2024-01-15
37,6,2018-04-15,debit,Recibos,-180.00,Recibo gas Naturgy,Direct_Debit,completed,2024-01-15
38,7,2018-04-18,credit,Nómina,3200.00,Nómina Abril,Transfer,completed,2024-01-15
39,8,2018-04-20,debit,Compras,56.90,Perfumería Primor,POS,completed,2024-01-15
40,9,2018-04-22,debit,Ocio,22.00,HBO suscripción,Direct_Debit,completed,2024-01-15
41,10,2018-04-25,credit,Pensión,1850.00,Pensión Abril,Transfer,completed,2024-01-15
42,11,2018-04-28,debit,Transferencia,-2000.00,Pago alquiler,Transfer,completed,2024-01-15
43,12,2018-05-02,credit,Nómina,2200.00,Nómina Mayo,Transfer,completed,2024-01-15
44,13,2018-05-05,debit,Compras,145.60,IKEA muebles,POS,completed,2024-01-15
45,14,2018-05-08,debit,Recibos,-55.00,Agua,Direct_Debit,completed,2024-01-15
46,15,2018-05-10,credit,Pensión,1450.00,Pensión Mayo,Transfer,completed,2024-01-15
47,16,2018-05-12,debit,Compras,89.90,Zapatos Geox,POS,completed,2024-01-15
